variante,n_tokens,zerlegung,benefit_97,benefit_98,benefit_99,benefit_100
McQuarrie,4,ĠMc|Qu|ar|rie,,,,
Mcquarrie,4,ĠMc|qu|ar|rie,-0.257789,0.278907,-1.191061,-0.216180
mcquarrie,5,Ġm|c|qu|ar|rie,-0.903489,0.352920,-0.590807,0.312654
McQUarrie,4,ĠMc|QU|ar|rie,-0.686893,0.359675,-0.281478,0.089321
McOuarrie,4,ĠMc|O|uar|rie,0.045777,-0.064645,-0.696281,0.234862
mcQuarrie,5,Ġm|c|Qu|ar|rie,-0.267553,-0.129526,-0.722887,0.097116
Mc0uarrie,4,ĠMc|0|uar|rie,-0.695181,-0.243019,-0.823144,0.786168
McQuarr1e,5,ĠMc|Qu|arr|1|e,-1.116622,0.070764,-0.382665,-0.167332
McXuarrie,4,ĠMc|X|uar|rie,-0.816199,-0.311731,-0.614313,0.362542
McQuarrxe,4,ĠMc|Qu|arr|xe,-0.936107,-0.494443,-0.485832,-0.064296
MCQUARRIE,5,ĠMC|QU|AR|RI|E,-0.323457,0.147472,0.324234,0.745278
