dokument_index,dichte
0,0.3905736913
1,0.4087117702
2,0.4084362140
3,0.4340836013
4,0.4503597122
5,0.3960459184
6,0.4031198686
7,0.3941908714
8,0.3763188746
9,0.4202192448
10,0.4358365019
11,0.4110962567
12,0.4490276959
13,0.4389312977
14,0.4337539432
15,0.4297872340
16,0.4117190532
17,0.4339222615
18,0.3892466677
19,0.4266958425
20,0.4259115593
21,0.3995014023
22,0.4328593997
23,0.3496376812
24,0.3941553813
25,0.3926905132
26,0.4655396619
27,0.3920908708
28,0.3906976744
29,0.4189189189
30,0.3838797814
31,0.3648441492
32,0.3906581741
33,0.4348214286
34,0.4640287770
35,0.4377967711
36,0.4354430380
37,0.4459627329
38,0.3958714398
39,0.4048174048
40,0.4132501949
41,0.4101896616
42,0.4107962213
43,0.3565562914
44,0.4269141531
45,0.4254143646
46,0.4649446494
47,0.3874709977
48,0.4127259223
49,0.4121260758
50,0.4522058824
51,0.4358149889
52,0.4321152856
53,0.3850000000
54,0.4448201244
55,0.4878542510
56,0.4002447980
57,0.4062050007
58,0.4380165289
59,0.4638658097
60,0.4182983268
61,0.4014433920
62,0.4470644851
63,0.4089488528
64,0.3870402802
65,0.4036144578
66,0.3997955010
67,0.4275618375
68,0.4516129032
69,0.4094350612
70,0.3805418719
71,0.3981086028
72,0.3945895522
73,0.4322033898
74,0.4164648910
75,0.4155124654
76,0.4543973941
77,0.4656716418
78,0.4256410256
79,0.3756145526
80,0.4070864135
81,0.4296286507
82,0.4109414758
83,0.4035989717
84,0.4310139391
85,0.3930211203
86,0.4228742094
87,0.4265927978
88,0.3979460847
89,0.4289732771
90,0.3954828301
91,0.4299578059
92,0.3991312741
93,0.3452054795
94,0.3876600698
95,0.4052684904
96,0.4118757159
97,0.4152249135
98,0.4312865497
99,0.4090610637
100,0.4383591534
101,0.3811359548
102,0.3596059113
103,0.4287564767
104,0.3745019920
105,0.4233825199
106,0.4116094987
107,0.4025470653
108,0.4110169492
109,0.3950338600
110,0.4209265176
111,0.4074483267
112,0.4302521008
113,0.3731958763
114,0.4167515275
115,0.4340659341
116,0.4305088814
117,0.4134615385
118,0.4383708467
119,0.4375987362
120,0.4160633314
121,0.4103260870
122,0.4144838213
123,0.3871339636
124,0.4318869828
125,0.4234432234
126,0.3876811594
127,0.4498933902
128,0.4109461349
129,0.4065446478
130,0.3877901978
131,0.3674351585
132,0.3925788497
133,0.4847775176
