block,kopf,gruppe,q_zu_rie1,rie1_zu_davor,q_zu_pos0,q_zu_selbst,q_zu_name1
0,0,bekannt,0.097,0.2954,0.0764,0.2261,0.205
0,0,unbekannt,0.107,0.0783,0.0995,0.0646,0.226
0,1,bekannt,0.0695,0.091,0.0416,0.169,0.1389
0,1,unbekannt,0.072,0.1599,0.045,0.1976,0.1291
0,2,bekannt,0.0575,0.2099,0.0789,0.1425,0.1854
0,2,unbekannt,0.0802,0.1792,0.0931,0.1173,0.133
0,3,bekannt,0.0009,0.053,0.0073,0.1076,0.4911
0,3,unbekannt,0.0008,0.0006,0.0091,0.0946,0.7267
0,4,bekannt,0.037,0.3512,0.0161,0.1873,0.0712
0,4,unbekannt,0.0685,0.4128,0.0306,0.1362,0.0978
0,5,bekannt,0.0312,0.1194,0.1284,0.1292,0.118
0,5,unbekannt,0.0288,0.163,0.1539,0.1223,0.1052
0,6,bekannt,0.0226,0.5326,0.0061,0.1324,0.0261
0,6,unbekannt,0.0359,0.7778,0.009,0.2351,0.0414
0,7,bekannt,0.0595,0.1642,0.0882,0.0692,0.105
0,7,unbekannt,0.0477,0.338,0.146,0.1681,0.1005
0,8,bekannt,0.0278,0.4335,0.026,0.0716,0.0393
0,8,unbekannt,0.0233,0.3891,0.0561,0.094,0.0459
0,9,bekannt,0.0247,0.2982,0.0624,0.1222,0.1655
0,9,unbekannt,0.0268,0.2327,0.0648,0.0883,0.1022
0,10,bekannt,0.03,0.5521,0.0491,0.2756,0.0748
0,10,unbekannt,0.0455,0.8887,0.0437,0.3717,0.1099
0,11,bekannt,0.0301,0.3215,0.0528,0.17,0.057
0,11,unbekannt,0.0614,0.5878,0.0521,0.2801,0.1007
0,12,bekannt,0.0792,0.2887,0.0359,0.0632,0.0848
0,12,unbekannt,0.1026,0.6004,0.0319,0.1384,0.1206
0,13,bekannt,0.0621,0.0959,0.0548,0.055,0.0922
0,13,unbekannt,0.0695,0.0651,0.0679,0.037,0.0848
0,14,bekannt,0.0237,0.7268,0.0116,0.1165,0.0309
0,14,unbekannt,0.0225,0.784,0.0192,0.2358,0.0391
0,15,bekannt,0.0526,0.0688,0.0569,0.128,0.2918
0,15,unbekannt,0.1118,0.1143,0.07,0.1506,0.2407
1,0,bekannt,0.0184,0.183,0.0371,0.0691,0.0548
1,0,unbekannt,0.0512,0.4488,0.0398,0.0185,0.1194
1,1,bekannt,0.0021,0.1984,0.0171,0.0631,0.0125
1,1,unbekannt,0.002,0.14,0.0166,0.0198,0.0049
1,2,bekannt,0.0521,0.2294,0.0561,0.0302,0.1167
1,2,unbekannt,0.0606,0.0489,0.0503,0.0332,0.1946
1,3,bekannt,0.0029,0.8762,0.0212,0.1587,0.0068
1,3,unbekannt,0.0054,0.9657,0.0309,0.1332,0.0077
1,4,bekannt,0.0223,0.2568,0.0168,0.085,0.0551
1,4,unbekannt,0.0159,0.1232,0.0202,0.0492,0.0275
1,5,bekannt,0.0007,0.7978,0.0004,0.0641,0.0024
1,5,unbekannt,0.0009,0.9367,0.0005,0.0984,0.0028
1,6,bekannt,0.0057,0.1499,0.0273,0.101,0.0119
1,6,unbekannt,0.0034,0.1234,0.0241,0.0534,0.0044
1,7,bekannt,0.0075,0.2802,0.0685,0.0503,0.0425
1,7,unbekannt,0.0116,0.0827,0.0948,0.005,0.0149
1,8,bekannt,0.0036,0.0947,0.0163,0.0367,0.0112
1,8,unbekannt,0.0029,0.458,0.0174,0.0316,0.0042
1,9,bekannt,0.0108,0.2228,0.1132,0.0913,0.0465
1,9,unbekannt,0.0112,0.1528,0.1365,0.0388,0.0194
1,10,bekannt,0.0245,0.7404,0.004,0.1427,0.0298
1,10,unbekannt,0.015,0.9693,0.0101,0.2217,0.0244
1,11,bekannt,0.0004,0.8992,0.0,0.0446,0.0006
1,11,unbekannt,0.0001,0.9049,0.0,0.0103,0.0001
1,12,bekannt,0.0186,0.2984,0.0371,0.1285,0.2112
1,12,unbekannt,0.0238,0.1467,0.051,0.0935,0.2091
1,13,bekannt,0.0012,0.1312,0.028,0.0528,0.0068
1,13,unbekannt,0.0009,0.1811,0.0374,0.014,0.0019
1,14,bekannt,0.0089,0.1259,0.0302,0.0969,0.0212
1,14,unbekannt,0.0067,0.1666,0.0337,0.1026,0.0154
1,15,bekannt,0.0072,0.7284,0.0147,0.0171,0.0086
1,15,unbekannt,0.01,0.8087,0.0346,0.0274,0.0128
2,0,bekannt,0.0013,0.1944,0.0331,0.1018,0.6922
2,0,unbekannt,0.0022,0.174,0.0601,0.0733,0.6671
2,1,bekannt,0.03,0.1319,0.0686,0.0331,0.1017
2,1,unbekannt,0.0267,0.1969,0.092,0.0474,0.1103
2,2,bekannt,0.0332,0.1779,0.0509,0.0427,0.1087
2,2,unbekannt,0.0232,0.1386,0.0613,0.024,0.0646
2,3,bekannt,0.0071,0.1883,0.0355,0.0873,0.1007
2,3,unbekannt,0.0132,0.1972,0.0377,0.115,0.1118
2,4,bekannt,0.0027,0.1704,0.0999,0.0238,0.0247
2,4,unbekannt,0.0028,0.1346,0.1008,0.0092,0.0076
2,5,bekannt,0.0,0.0,0.0433,0.0389,0.5194
2,5,unbekannt,0.0001,0.0,0.0499,0.0208,0.307
2,6,bekannt,0.0097,0.2623,0.0392,0.1142,0.1017
2,6,unbekannt,0.0049,0.2091,0.0358,0.1097,0.0606
2,7,bekannt,0.864,0.2612,0.0036,0.008,0.8768
2,7,unbekannt,0.9549,0.2686,0.0012,0.0014,0.9565
2,8,bekannt,0.0123,0.2429,0.0267,0.065,0.0639
2,8,unbekannt,0.0061,0.1776,0.0331,0.022,0.0177
