gruppe,name,vorlage,ueberraschung_1,ueberraschung_2,L50_1,L50_2,dlogp_block0_vork1,dlogp_block1_vork1,dlogp_block2_vork1,dlogp_block3_vork1,dlogp_block4_vork1,dlogp_block5_vork1,dlogp_block6_vork1,dlogp_block7_vork1,dlogp_block8_vork1,dlogp_block9_vork1,dlogp_block10_vork1,dlogp_block11_vork1,dlogp_block12_vork1,dlogp_block13_vork1,dlogp_block14_vork1,dlogp_block15_vork1,dlogp_block16_vork1,dlogp_block17_vork1,dlogp_block18_vork1,dlogp_block19_vork1,dlogp_block20_vork1,dlogp_block21_vork1,dlogp_block22_vork1,dlogp_block23_vork1,dlogp_block0_vork2,dlogp_block1_vork2,dlogp_block2_vork2,dlogp_block3_vork2,dlogp_block4_vork2,dlogp_block5_vork2,dlogp_block6_vork2,dlogp_block7_vork2,dlogp_block8_vork2,dlogp_block9_vork2,dlogp_block10_vork2,dlogp_block11_vork2,dlogp_block12_vork2,dlogp_block13_vork2,dlogp_block14_vork2,dlogp_block15_vork2,dlogp_block16_vork2,dlogp_block17_vork2,dlogp_block18_vork2,dlogp_block19_vork2,dlogp_block20_vork2,dlogp_block21_vork2,dlogp_block22_vork2,dlogp_block23_vork2
bekannt,Barrie,0,4.4419,0.003,2,1,-8.1915,-0.1622,0.3635,-0.6655,-0.2714,0.0154,0.4468,0.2013,0.0557,0.4991,-0.073,-0.3498,0.0434,0.1205,-0.1171,-0.7031,-0.454,-0.1381,1.3969,0.5797,-0.4049,-0.57,-0.1247,-2.2227,-14.2128,-0.0051,0.0011,-0.0037,-0.0017,-0.0018,-0.0019,-0.0024,-0.0036,0.0012,-0.0069,-0.0011,-0.0046,0.0012,-0.0091,0.0001,0.0023,0.0025,0.0011,0.0008,-0.0079,-0.002,-0.0045,-0.6261
bekannt,Barrie,1,4.9613,0.0014,1,1,-9.6119,-0.2154,-0.2202,-1.1332,-0.0561,-0.0468,-0.0083,-0.0349,0.0505,0.2407,0.5189,-0.5888,-0.8167,-0.3942,-0.3178,-0.0684,-0.5653,0.6641,0.6211,1.561,-0.604,-0.2163,-0.4882,-2.224,-13.4648,-0.0059,0.0003,-0.0012,-0.001,-0.0025,-0.0008,-0.0009,-0.0015,-0.0018,-0.0022,0.0005,-0.0019,0.0001,-0.0031,0.0008,0.0009,0.0011,-0.0,0.0006,-0.0037,-0.0009,-0.0055,-0.6807
bekannt,Barrie,2,4.162,0.0086,1,1,-7.3426,0.101,-0.3494,-0.742,-1.1102,-0.3684,-0.0201,0.1239,-0.0573,0.0508,0.0313,-0.1225,0.0809,0.5715,0.2866,-0.5488,-0.1831,0.1985,1.1302,0.8458,-0.3203,-0.4719,-0.5058,-2.8418,-12.9667,-1.9263,0.0058,-0.0047,-0.0027,-0.0052,-0.0083,-0.0219,-0.0255,0.005,-0.0122,-0.0015,-0.0276,0.0042,-0.0271,-0.005,0.0051,0.0062,0.0007,0.0014,-0.0161,-0.0027,-0.0126,-0.6622
bekannt,Currie,0,1.769,0.0009,1,10,-13.154,-1.6709,-0.1896,-1.0501,0.0204,-0.1368,-0.1651,-0.0473,-0.3978,-0.3116,-0.0866,0.3017,-0.6189,0.1901,0.0282,-0.6394,-0.1024,-0.5571,-1.2229,-0.6051,0.5199,-0.3189,0.2979,-2.2342,-13.1308,-0.0094,-0.0009,-0.0019,-0.0006,0.0001,-0.0003,0.0003,-0.0036,-0.0008,-0.0036,0.0005,-0.0023,0.0008,-0.0022,-0.0,0.0004,0.0002,-0.0023,-0.0002,-0.0001,-0.0012,-0.0028,-0.244
bekannt,Currie,1,4.55,0.0042,1,21,-8.4817,-0.2613,-0.2451,-1.3471,0.0975,0.312,0.2725,-0.3087,-0.2128,-0.0611,0.4495,0.2683,-0.2647,-0.0778,0.5977,0.0275,-0.2517,-0.7484,-0.6211,0.0649,0.3869,-0.2394,0.1557,-1.8839,-12.424,-0.0025,0.0019,-0.0059,-0.0003,0.0021,-0.0,-0.0056,-0.0115,-0.0064,-0.0173,0.0019,-0.005,0.0034,-0.0057,0.0022,0.0013,-0.0037,-0.0032,-0.0013,0.0001,-0.0034,-0.0109,-0.6662
bekannt,Currie,2,1.7235,0.0025,1,11,-9.7957,-1.4147,-0.7526,-0.6846,0.0909,0.0622,-0.0941,-0.0636,-0.3888,-0.3437,-0.3324,-0.0572,-0.5973,0.4774,0.109,-0.4451,0.0041,-1.2689,-1.4211,-0.5743,0.8748,-0.0015,0.4198,-2.4063,-12.9666,-0.0235,0.0009,0.0001,-0.006,0.0004,-0.0074,-0.0096,-0.0119,-0.0012,-0.0085,-0.0006,-0.015,0.0018,-0.0097,-0.0024,0.0008,-0.0006,-0.003,-0.0005,0.0003,-0.0034,-0.0054,-0.2426
bekannt,Brie,0,6.7856,0.0157,13,10,-6.4389,0.0849,0.0158,-0.3533,-0.2224,-0.3457,-0.1917,0.1169,0.1797,0.3046,0.0083,-0.0587,0.4244,-0.0256,-0.0445,-0.2322,-1.1606,0.0769,-0.1313,-0.3968,0.6231,-0.524,0.5639,-1.1299,-12.4727,-0.1065,0.0039,-0.0419,-0.0011,0.0028,-0.0037,-0.0029,-0.0167,0.0013,-0.0168,-0.0093,-0.0255,-0.0141,-0.0069,-0.0059,-0.0113,0.0097,-0.0062,0.0003,0.0042,0.0018,-0.0067,-0.4168
bekannt,Brie,1,6.7755,0.0115,14,11,-5.8696,0.3435,0.1427,-1.058,-0.3372,-0.1379,-0.1519,0.0431,-0.6291,-0.7793,0.5013,-0.1443,-0.3778,-0.1429,-0.2399,-0.2296,-0.9454,0.1196,-0.1252,-0.3193,-0.6098,-0.1951,1.1355,-0.7215,-12.0477,-0.0044,0.0065,-0.0052,-0.0158,0.003,-0.0038,0.0008,-0.0223,-0.0184,-0.0046,0.004,-0.0204,-0.0093,-0.0084,-0.0109,-0.0011,0.0076,0.0001,0.0016,0.0008,0.002,-0.0018,-0.4869
bekannt,Brie,2,6.7552,0.0135,13,11,-6.0489,0.17,-0.5923,-0.1276,-0.5176,-0.0049,-0.0166,-0.1131,0.1139,-0.1211,0.092,-0.2372,0.0992,0.0561,0.077,-0.3276,-0.4581,0.1129,-0.3651,0.1217,0.3728,0.2359,0.4,-1.2504,-12.8791,-1.9943,-0.0038,-0.0142,-0.016,0.0043,-0.006,-0.0102,-0.0438,0.0009,-0.0286,-0.0251,-0.0485,-0.016,-0.0097,-0.0083,-0.0074,0.0075,0.0012,-0.0015,0.0027,0.0003,-0.0037,-0.3
bekannt,McQuarrie,0,0.0808,0.0004,3,3,-13.3672,-3.116,-2.2985,-2.3349,-0.3292,-0.2107,-0.0342,-0.0675,-1.0358,0.0325,-0.1153,-0.0786,0.0443,-0.1647,-0.1177,0.0562,0.0663,-0.0301,-0.259,0.0318,-0.087,0.0192,-0.1277,-2.3164,-13.0916,-0.0353,-0.0043,-0.0043,-0.002,-0.0002,-0.0007,-0.0001,-0.0023,-0.0003,-0.0003,-0.0,-0.0029,-0.0007,-0.0014,-0.001,-0.0003,-0.0,0.0002,0.0002,0.0001,0.0,-0.001,-0.0496
