block,kopf,kontext_delta,kontext_abs,param_delta,param_abs,muster_q_zu_rie1_unbekannt,muster_rie1_zu_davor_unbekannt,muster_q_zu_pos0_unbekannt,muster_q_zu_rie1_bekannt
0,0,0.0018,0.0246,-0.0573,0.1022,0.107,0.0783,0.0995,0.097
0,1,-0.005,0.0127,-0.0234,0.0538,0.072,0.1599,0.045,0.0695
0,2,-0.1324,0.1324,-0.0049,0.0725,0.0802,0.1792,0.0931,0.0575
0,3,-0.0878,0.0878,-0.0137,0.0776,0.0008,0.0006,0.0091,0.0009
0,4,0.0113,0.022,-0.0097,0.0682,0.0685,0.4128,0.0306,0.037
0,5,-0.0306,0.0306,-0.0073,0.0418,0.0288,0.163,0.1539,0.0312
0,6,0.0397,0.0479,-0.1401,0.2077,0.0359,0.7778,0.009,0.0226
0,7,0.0312,0.0352,0.0016,0.063,0.0477,0.338,0.146,0.0595
0,8,-0.0496,0.0519,-0.0093,0.0361,0.0233,0.3891,0.0561,0.0278
0,9,-0.022,0.0228,0.0135,0.0457,0.0268,0.2327,0.0648,0.0247
0,10,0.0311,0.0355,-0.021,0.0579,0.0455,0.8887,0.0437,0.03
0,11,-0.0043,0.0163,0.0226,0.0375,0.0614,0.5878,0.0521,0.0301
0,12,0.0581,0.0655,-0.0173,0.0457,0.1026,0.6004,0.0319,0.0792
0,13,-0.0194,0.02,0.0096,0.0392,0.0695,0.0651,0.0679,0.0621
0,14,0.0289,0.0326,-0.0579,0.061,0.0225,0.784,0.0192,0.0237
0,15,-0.0459,0.0459,0.0183,0.0578,0.1118,0.1143,0.07,0.0526
1,0,0.0412,0.0418,0.0005,0.0384,0.0512,0.4488,0.0398,0.0184
1,1,0.0035,0.0073,-0.006,0.0518,0.002,0.14,0.0166,0.0021
1,2,0.0047,0.008,0.0033,0.0455,0.0606,0.0489,0.0503,0.0521
1,3,-0.0232,0.0481,-0.035,0.0434,0.0054,0.9657,0.0309,0.0029
1,4,-0.0247,0.0291,-0.0014,0.0307,0.0159,0.1232,0.0202,0.0223
1,5,0.0094,0.0288,-0.052,0.1188,0.0009,0.9367,0.0005,0.0007
1,6,-0.0143,0.0171,-0.0197,0.0395,0.0034,0.1234,0.0241,0.0057
1,7,-0.0276,0.0283,-0.041,0.0465,0.0116,0.0827,0.0948,0.0075
1,8,-0.0291,0.0308,0.0063,0.0253,0.0029,0.458,0.0174,0.0036
1,9,0.0079,0.0114,0.0153,0.023,0.0112,0.1528,0.1365,0.0108
1,10,-0.043,0.0548,-0.0373,0.0778,0.015,0.9693,0.0101,0.0245
1,11,-0.2603,0.2648,-0.0853,0.141,0.0001,0.9049,0.0,0.0004
1,12,0.0044,0.0108,-0.0465,0.0484,0.0238,0.1467,0.051,0.0186
1,13,-0.014,0.0171,0.0269,0.0524,0.0009,0.1811,0.0374,0.0012
1,14,-0.0069,0.0081,-0.0208,0.0364,0.0067,0.1666,0.0337,0.0089
1,15,0.0404,0.0457,-0.0875,0.1517,0.01,0.8087,0.0346,0.0072
2,0,-0.0231,0.0247,0.0032,0.0281,0.0022,0.174,0.0601,0.0013
2,1,-0.007,0.0094,-0.0035,0.0279,0.0267,0.1969,0.092,0.03
2,2,0.0034,0.0058,0.0094,0.0253,0.0232,0.1386,0.0613,0.0332
2,3,-0.0035,0.0083,-0.0218,0.0419,0.0132,0.1972,0.0377,0.0071
2,4,0.0015,0.0075,-0.0202,0.026,0.0028,0.1346,0.1008,0.0027
2,5,0.0024,0.0081,-0.0026,0.0238,0.0001,0.0,0.0499,0.0
2,6,-0.0028,0.0085,0.0003,0.0246,0.0049,0.2091,0.0358,0.0097
2,7,-0.0266,0.0283,-0.0156,0.0304,0.9549,0.2686,0.0012,0.864
2,8,0.0019,0.0053,0.0184,0.0354,0.0061,0.1776,0.0331,0.0123
2,9,-0.0143,0.02,-0.0628,0.0816,0.0053,0.1519,0.0615,0.0048
2,10,-0.0181,0.0182,0.0164,0.0225,0.0107,0.1929,0.0433,0.0122
2,11,-0.0022,0.0158,-0.015,0.028,0.0182,0.0519,0.0401,0.0398
2,12,0.0023,0.0111,0.0017,0.0409,0.0082,0.0811,0.0368,0.0114
2,13,-0.0009,0.0074,0.014,0.0361,0.0355,0.2844,0.0243,0.0296
2,14,-0.0035,0.0061,-0.0258,0.0361,0.0079,0.2274,0.0778,0.0178
2,15,-0.0283,0.0305,-0.01,0.0304,0.0229,0.3315,0.0257,0.0206
4,0,0.0011,0.0025,0.0107,0.0107,0.0054,0.0037,0.8477,0.0011
4,1,0.0019,0.0072,-0.0036,0.0082,0.0597,0.0003,0.6331,0.0706
4,2,0.0046,0.0064,-0.0103,0.0162,0.0175,0.0124,0.8263,0.0044
4,3,0.0113,0.0132,-0.0024,0.0104,0.1108,0.0089,0.7699,0.0894
4,4,0.0046,0.006,0.0007,0.0125,0.0064,0.017,0.5774,0.0092
4,5,-0.0138,0.0174,-0.0109,0.0136,0.6016,0.0028,0.209,0.6229
4,6,-0.0102,0.0189,-0.0293,0.0566,0.001,0.1993,0.0094,0.0006
4,7,0.0111,0.0138,0.0139,0.0244,0.0251,0.0006,0.3459,0.1048
4,8,-0.25,0.25,-0.0,0.0103,0.8889,0.0003,0.0952,0.9379
4,9,-0.0053,0.0079,-0.0061,0.013,0.023,0.0105,0.6822,0.056
4,10,0.0039,0.0052,-0.0028,0.0251,0.0043,0.0081,0.7586,0.0051
4,11,0.0067,0.0096,0.0336,0.0355,0.1201,0.0941,0.5378,0.0705
4,12,0.0001,0.0079,0.0077,0.0152,0.0029,0.0325,0.7359,0.004
4,13,0.0003,0.0024,-0.0114,0.0124,0.0457,0.0078,0.8008,0.0144
4,14,-0.0115,0.012,-0.0094,0.0253,0.0035,0.0022,0.6007,0.0035
4,15,-0.0407,0.0413,-0.1427,0.1427,0.0003,0.8043,0.0014,0.0005
8,0,-0.0007,0.0026,0.007,0.012,0.0536,0.032,0.6088,0.0575
8,1,-0.0121,0.0123,-0.0073,0.0166,0.0112,0.2953,0.7704,0.0168
8,2,0.003,0.003,0.0167,0.0175,0.0049,0.012,0.8155,0.0034
8,3,-0.0019,0.0077,0.0281,0.052,0.0126,0.0698,0.5634,0.0167
8,4,-0.029,0.0294,-0.0138,0.0223,0.0001,0.6364,0.4012,0.0005
8,5,-0.0077,0.0084,-0.0224,0.0391,0.0269,0.0918,0.2762,0.0227
8,6,-0.0926,0.0926,0.0078,0.0142,0.0611,0.0049,0.0622,0.1096
8,7,-0.0137,0.0184,0.0856,0.1139,0.1,0.0223,0.6097,0.0669
8,8,-0.0027,0.0062,-0.0136,0.0233,0.0053,0.0081,0.5774,0.0046
8,9,-0.0156,0.0159,-0.0611,0.0621,0.0048,0.1779,0.0997,0.0123
8,10,0.0009,0.0038,-0.045,0.0463,0.0287,0.0082,0.7478,0.0213
8,11,0.0031,0.0105,0.001,0.0228,0.0013,0.0217,0.7634,0.0015
8,12,-0.0024,0.0052,-0.0111,0.0297,0.0006,0.2395,0.7576,0.0006
8,13,0.0004,0.0028,0.0027,0.0101,0.0013,0.0129,0.9188,0.0025
8,14,-0.0008,0.0031,0.0184,0.0237,0.0168,0.0726,0.7238,0.0191
8,15,-0.0066,0.0142,0.0045,0.0685,0.0002,0.057,0.504,0.0003
10,0,-0.1526,0.1526,0.0243,0.0245,0.9435,0.0012,0.0452,0.8344
10,1,0.007,0.0132,0.0224,0.024,0.0008,0.0163,0.5634,0.0004
10,2,0.0036,0.0069,0.0203,0.0253,0.0009,0.0844,0.9071,0.0008
10,3,-0.0014,0.0028,0.0146,0.015,0.0245,0.0156,0.8114,0.0218
10,4,0.0028,0.0099,0.0206,0.0288,0.3593,0.0217,0.4285,0.3135
10,5,-0.0192,0.0221,0.0018,0.0255,0.096,0.0778,0.4131,0.1024
10,6,0.0002,0.0008,-0.0104,0.0162,0.0053,0.005,0.9255,0.0028
10,7,0.0106,0.011,0.0132,0.0209,0.0312,0.0248,0.7678,0.0404
10,8,-0.0097,0.0097,0.0072,0.0103,0.1145,0.0002,0.8774,0.1935
10,9,-0.0045,0.0045,0.0096,0.0119,0.0173,0.0017,0.9702,0.0124
10,10,0.0016,0.0059,0.0633,0.066,0.0149,0.0447,0.5394,0.0116
10,11,0.0014,0.0021,0.0046,0.0051,0.0444,0.0007,0.9286,0.022
10,12,0.0015,0.0018,0.0091,0.0125,0.0004,0.011,0.9362,0.0003
10,13,0.0025,0.0071,0.0321,0.0433,0.014,0.0156,0.8809,0.0086
10,14,-0.0029,0.0083,0.0104,0.0384,0.0074,0.3293,0.5707,0.0082
