block,param_mlp,param_attn,param_attn_anteil,param_attn_signiert,kontext_mlp,kontext_attn,kontext_attn_anteil,kontext_attn_signiert
0,8.8266,4.9381,0.3588,-4.9381,12.2996,7.6811,0.3844,-7.6811
1,0.425,1.1926,0.7372,-0.9694,0.1717,0.7166,0.8067,-0.7166
2,1.4982,0.1093,0.068,-0.0701,0.1605,0.2088,0.5654,-0.2088
3,0.9543,0.1489,0.135,0.0061,0.1042,0.1026,0.496,-0.065
4,0.3458,0.1922,0.3573,-0.155,0.0943,0.5788,0.8599,-0.5788
5,0.156,0.0838,0.3496,-0.0412,0.0504,0.0569,0.5305,-0.0564
6,0.1568,0.0881,0.3597,-0.0724,0.0767,0.043,0.3589,-0.0199
7,0.101,0.0755,0.4278,-0.062,0.1333,0.1102,0.4527,-0.1102
8,0.3501,0.2011,0.3649,-0.0172,0.0252,0.3024,0.923,-0.3024
9,0.1883,0.1309,0.4101,0.0393,0.0351,0.0477,0.576,-0.0437
10,0.2069,0.1879,0.4759,0.1744,0.0469,0.2015,0.8111,-0.2015
11,0.2477,0.1711,0.4085,0.1307,0.0451,0.0193,0.2994,0.0078
12,0.2646,0.1442,0.3527,0.026,0.0286,0.1325,0.8222,-0.1325
13,0.2385,0.2777,0.5379,0.1796,0.0505,0.0765,0.6021,-0.073
14,0.1731,0.1837,0.5148,0.1703,0.0272,0.1462,0.8433,-0.146
15,0.2927,0.1069,0.2676,0.0283,0.0352,0.0298,0.4583,-0.0253
16,0.2863,0.1702,0.3728,-0.0161,0.0514,0.0463,0.4739,-0.0453
17,0.3519,0.2271,0.3923,-0.0932,0.0223,0.0191,0.4619,0.0102
18,0.4362,0.1352,0.2366,-0.1324,0.0437,0.0128,0.226,0.0082
19,0.2809,0.1924,0.4066,-0.1297,0.0306,0.0291,0.4873,0.0283
20,0.5318,0.0997,0.1579,-0.0147,0.0814,0.02,0.1973,-0.0127
21,0.2467,0.0746,0.2323,-0.0158,0.0329,0.0116,0.2605,0.0063
22,0.4067,0.1189,0.2262,0.0936,0.2438,0.0365,0.1303,-0.0365
23,1.5092,0.1896,0.1116,-0.1896,1.3631,0.0693,0.0484,-0.0693
