block,kopf,delta_mittel,delta_abs,delta_austritt,delta_eintritt,delta_115,delta_190,delta_197,delta_205,masse_de,masse_en,masse_pos0,masse_selbst,masse_de_austritt,masse_en_austritt
0,0,0.0023,0.0628,-0.0267,0.0802,-0.0101,-0.1073,-0.0084,0.0188,0.8789,0.0767,0.0087,0.0388,0.8623,0.1251
0,1,-0.0007,0.0305,-0.0092,-0.0204,-0.0181,-0.008,-0.011,0.0003,0.894,0.0334,0.0096,0.066,0.6578,0.2902
0,2,-0.03,0.3266,0.1845,0.6574,0.1589,0.7583,-0.1213,-0.0577,0.8961,0.0469,0.0209,0.0393,0.864,0.0986
0,3,0.0091,0.0532,-0.0155,0.0231,-0.0083,-0.0687,0.0006,0.0144,0.8542,0.0193,0.0039,0.1256,0.861,0.0646
0,4,0.0094,0.075,-0.0262,0.0996,-0.0208,-0.0015,-0.1041,0.0214,0.8811,0.0342,0.0087,0.079,0.525,0.4394
0,5,0.0229,0.1132,-0.0647,0.255,0.0003,-0.1593,-0.1357,0.0361,0.9076,0.0407,0.0068,0.0481,0.8532,0.1228
0,6,0.0218,0.1711,-0.0281,0.018,-0.1732,0.0304,0.053,-0.0225,0.8325,0.041,0.0079,0.1217,0.1615,0.8044
0,7,-0.0421,0.1995,-0.0024,-0.147,-0.0673,-0.08,0.0765,0.0614,0.9212,0.037,0.0112,0.0337,0.6746,0.2792
0,8,0.0114,0.0728,0.048,0.1021,0.1668,0.0657,0.0262,-0.0668,0.8403,0.0405,0.0049,0.1174,0.4421,0.4822
0,9,0.0065,0.053,0.0053,0.0365,0.0532,-0.0323,-0.0351,0.0355,0.8937,0.0368,0.015,0.0577,0.8333,0.1348
0,10,-0.0062,0.0513,0.0126,-0.008,0.035,-0.0022,0.029,-0.0113,0.8859,0.029,0.0068,0.0813,0.5885,0.3415
0,11,0.0001,0.1247,0.0293,0.0344,-0.0717,0.1561,-0.0237,0.0565,0.9024,0.0307,0.0117,0.0583,0.5372,0.3449
0,12,0.0057,0.076,0.0268,0.0994,-0.0054,-0.1192,0.124,0.1079,0.8418,0.0467,0.0053,0.1093,0.2582,0.7105
0,13,0.0041,0.0587,-0.0117,0.0401,-0.0092,0.0318,-0.0787,0.0092,0.8933,0.0381,0.0074,0.0642,0.7684,0.1836
0,14,0.0268,0.1596,0.0985,-0.0171,0.0858,0.2695,0.0841,-0.0454,0.8487,0.0392,0.0069,0.1082,0.3364,0.5764
0,15,-0.0104,0.0716,-0.0122,0.1002,0.055,-0.0426,-0.0663,0.0052,0.8763,0.0427,0.0115,0.0726,0.8254,0.1115
1,0,0.0154,0.0522,0.0177,-0.0146,-0.0011,0.0168,0.0214,0.0337,0.9068,0.0416,0.0119,0.0429,0.3277,0.6615
1,1,0.0013,0.0235,-0.0084,0.0267,0.0416,-0.021,-0.0592,0.0048,0.9212,0.0144,0.0104,0.0571,0.8722,0.1138
1,2,0.0137,0.1945,-0.0336,0.1788,-0.0212,-0.0728,-0.0182,-0.0222,0.9057,0.0534,0.0093,0.0347,0.6252,0.3448
1,3,0.0071,0.1436,0.0883,0.1095,0.0627,0.2386,0.0432,0.0084,0.8811,0.024,0.0072,0.0909,0.2213,0.7202
1,4,-0.0033,0.0344,-0.0058,-0.0516,-0.0223,0.0206,-0.0051,-0.0166,0.8713,0.043,0.0125,0.0763,0.8241,0.1542
1,5,0.0471,0.2066,0.1018,-0.12,0.1424,0.0632,0.0975,0.1041,0.8902,0.0278,0.0066,0.0785,0.1009,0.8625
1,6,0.0049,0.0349,0.0016,0.0132,0.0269,0.0225,-0.0249,-0.018,0.9079,0.0307,0.0083,0.0563,0.7593,0.2222
1,7,0.0098,0.0509,-0.0124,0.1072,-0.0029,0.0037,-0.0277,-0.0228,0.9088,0.0477,0.0132,0.0334,0.7996,0.1783
1,8,-0.001,0.0489,0.0317,0.0673,0.0469,0.0081,0.0874,-0.0156,0.8785,0.0464,0.0107,0.0675,0.2562,0.7277
1,9,0.0022,0.0274,-0.0076,0.0107,-0.0022,-0.0231,0.0089,-0.014,0.8843,0.053,0.0087,0.0571,0.5752,0.4146
1,10,0.0031,0.1339,0.0434,0.004,0.0752,0.0212,0.0522,0.0252,0.8631,0.037,0.0102,0.0928,0.1766,0.8098
1,11,0.026,0.2193,0.0449,0.1561,0.0777,0.0381,0.0806,-0.0166,0.8593,0.0519,0.0064,0.0855,0.0181,0.8733
1,12,-0.0094,0.0383,0.0012,-0.0052,0.0083,-0.0167,0.0146,-0.0012,0.8732,0.0389,0.0118,0.0793,0.8247,0.1255
1,13,0.0197,0.067,-0.0363,-0.0172,0.0006,-0.1524,-0.0126,0.0192,0.9135,0.0303,0.0084,0.051,0.5576,0.439
1,14,-0.0015,0.0273,0.0059,-0.0164,-0.0008,0.0013,0.001,0.0219,0.9253,0.0377,0.0104,0.0296,0.6223,0.3657
1,15,0.0268,0.1782,0.1139,-0.1971,0.0192,0.282,0.1036,0.0507,0.9051,0.0333,0.009,0.0556,0.049,0.9497
2,0,0.0084,0.0311,0.0231,0.0169,-0.0014,0.0468,0.0189,0.0281,0.8296,0.0287,0.0159,0.1289,0.7249,0.078
2,1,-0.0047,0.0521,0.0033,0.0453,0.0307,-0.0388,-0.0151,0.0362,0.8835,0.0393,0.0117,0.0686,0.6927,0.183
2,2,0.0021,0.0291,-0.0224,0.107,-0.0048,-0.1126,0.0048,0.0228,0.9085,0.0434,0.0153,0.0359,0.8462,0.1455
2,3,0.0124,0.0284,-0.0036,0.0015,0.0169,-0.0507,0.0106,0.0087,0.8806,0.0226,0.0109,0.089,0.7525,0.1398
2,4,0.0043,0.0298,0.0179,-0.0195,0.0049,0.0536,-0.0012,0.0145,0.8802,0.0617,0.0152,0.046,0.7381,0.251
2,5,0.0001,0.0244,-0.0027,0.0139,0.0035,-0.0283,0.0071,0.0068,0.9032,0.0028,0.0163,0.0808,0.9662,0.0017
2,6,0.0579,0.1079,-0.0493,0.147,-0.118,0.078,-0.0672,-0.0902,0.7789,0.0341,0.0134,0.1766,0.6673,0.1208
2,7,0.0027,0.0235,-0.0015,0.0064,-0.0048,-0.0073,0.0097,-0.0035,0.9288,0.0162,0.0182,0.0399,0.9677,0.0207
2,8,0.0069,0.026,-0.0132,0.0966,-0.0022,-0.0103,-0.0231,-0.0171,0.9177,0.0278,0.0143,0.0432,0.8727,0.0634
2,9,0.0167,0.0535,-0.0272,-0.0382,-0.0364,-0.0775,0.0222,-0.0172,0.8671,0.0422,0.0075,0.0864,0.4983,0.3544
2,10,-0.0074,0.0284,-0.0031,-0.0343,-0.0193,0.0091,-0.0077,0.0056,0.8652,0.0344,0.0191,0.0844,0.8287,0.0914
2,11,-0.0022,0.0334,-0.0003,-0.0093,-0.0191,0.0254,-0.0174,0.01,0.895,0.0226,0.0079,0.0776,0.8911,0.0566
2,12,-0.0005,0.0252,-0.0188,-0.0074,-0.0041,-0.0794,0.0022,0.0061,0.9038,0.0198,0.0175,0.062,0.9217,0.0609
