vorkommen,position,token,ueberraschung_nats,tiefe,L50,entropie
1,31,M,5.9281,24,15,6.1818
1,32,Var,11.543,7,6,3.9835
1,33,rie,8.6799,8,8,0.7265
1,34,ur,10.252,8,6,0.6237
2,134,ĠM,3.2758,19,16,0.5614
2,135,Var,0.0596,21,11,0.0473
2,136,rie,0.0059,15,13,0.052
2,137,ur,0.006,12,4,0.2191
3,148,M,1.2992,18,14,0.1025
3,149,Var,0.0098,21,13,0.0016
3,150,rie,0.0001,16,13,0.0105
3,151,ur,0.001,6,4,0.0059
4,209,M,1.8786,18,14,0.0539
4,210,Var,0.0053,21,13,0.0059
4,211,rie,0.0006,16,11,0.0072
4,212,ur,0.0007,7,4,0.0094
