sprache,block,anteil_top1_gekippt,kl_nats
en,0,0.99517,7.32321
en,1,0.53623,1.21527
en,2,0.2657,0.29912
en,3,0.32367,0.36658
en,4,0.20773,0.24213
en,5,0.22705,0.22815
en,6,0.19807,0.17599
en,7,0.18841,0.12974
en,8,0.20773,0.10717
en,9,0.17391,0.09787
en,10,0.15942,0.10304
en,11,0.15942,0.13036
en,12,0.14493,0.09383
en,13,0.13043,0.0906
en,14,0.1401,0.09688
en,15,0.1256,0.09177
en,16,0.1256,0.09445
en,17,0.11594,0.08593
en,18,0.10628,0.0825
en,19,0.17391,0.13297
en,20,0.1256,0.0893
en,21,0.12077,0.09153
en,22,0.18357,0.12983
en,23,0.3285,0.63489
de,0,0.98765,8.49055
de,1,0.5463,1.26117
de,2,0.33951,0.44185
de,3,0.38889,0.61525
de,4,0.34568,0.419
de,5,0.28395,0.23117
de,6,0.23457,0.16097
de,7,0.21296,0.1377
de,8,0.27469,0.17357
de,9,0.19753,0.11668
de,10,0.21914,0.1143
de,11,0.23765,0.18672
de,12,0.22531,0.13081
de,13,0.26235,0.14139
de,14,0.25,0.15259
de,15,0.21296,0.13133
de,16,0.27778,0.14659
de,17,0.21605,0.12562
de,18,0.2284,0.12352
de,19,0.27469,0.19049
de,20,0.2284,0.12532
de,21,0.2037,0.11658
de,22,0.22531,0.13085
de,23,0.45679,0.76353
