metric,state60482,rank_high_to_low,percentile,z_vs_19,other18_mean,ratio_vs_other18_mean
density_per_alpha_char,0.3868194842406877,14,31.57894736842105,-0.21355834404130047,0.3985917322855011,0.9704653983205259
density_per_raw_char,0.3023516237402016,11,47.368421052631575,0.3077651979414539,0.2777418154760618,1.0886067811606577
token_coverage,0.6521739130434783,9,57.89473684210527,0.44123853480584824,0.5561011825623768,1.1727612411058888
target_letters_per_token,1.3043478260869565,10,52.63157894736842,0.30638961436713313,1.160404875097449,1.124045455235006
max_hits_charwin32,17.0,6,73.68421052631578,0.3567330158801032,16.0,1.0624999999999336
max_hits_charwin64,29.0,8,63.1578947368421,0.2303367938754358,27.72222222222222,1.0460921843686999
max_hits_charwin128,50.0,12,42.10526315789473,0.1223785623773094,48.666666666666664,1.0273972602739514
max_hit_tokens_tokwin16,15.0,5,78.94736842105263,0.4177294270360566,13.722222222222221,1.093117408906803
max_hit_tokens_tokwin32,27.0,8,63.1578947368421,0.3761920624311618,24.555555555555557,1.0995475113121724
max_hit_tokens_tokwin64,48.0,10,52.63157894736842,0.23136148858541364,44.94444444444444,1.0679851668726585
exact_uppercase_target_count,8.0,12,42.10526315789473,-0.4928506499333268,15.722222222222221,0.5088339222614517
