metric,state60482,rank_high_to_low,percentile,z_vs_19
cycle8_success_fraction,0.11895910780669144,12,42.10526315789473,-0.11425340351787443
two_4cycle_success_fraction,0.11895910780669144,13,36.84210526315789,-0.18530291572896537
cycle8_longest_run,3.0,3,89.47368421052632,0.2294157338705615
best_phase_match_L4,0.75,3,89.47368421052632,-0.13006649542861712
best_phase_match_L8,0.5,11,47.368421052631575,-0.7742781018131359
best_phase_match_L16,0.375,8,63.1578947368421,-0.3458928854800503
succ_within_tokgap1,0.10408921933085502,12,42.10526315789473,-0.11289826804447556
succ_within_tokgap2,0.10780669144981413,13,36.84210526315789,-0.21846951848978174
succ_within_tokgap4,0.11895910780669144,12,42.10526315789473,-0.04284260026472728
canonical_cycle_percentile_among_5040,47.79761904761905,12,42.10526315789473,-0.3355802386128442
best_nmi,0.208926938274704,12,42.10526315789473,-0.39024456740596486
period_perm_z,-1.2973345548403115,9,57.89473684210527,0.004428679757064938
