variante,rolle,bewegung_nats,tastatur_nats,gegenfeld_nats
WASV,buchstabenkontrolle,-7.8054,-5.5109,-11.0410
WASM,buchstabenkontrolle,-7.8739,-5.6382,-11.5575
WASD,ziel,-7.9354,-3.3529,-13.7947
WASL,buchstabenkontrolle,-7.9592,-5.4414,-11.0016
WASJ,buchstabenkontrolle,-7.9805,-6.3268,-11.8973
ASDW,reihenfolgekontrolle,-7.9874,-5.9847,-11.4180
WASB,buchstabenkontrolle,-8.0192,-5.3993,-11.7025
WASA,buchstabenkontrolle,-8.0731,-5.0504,-11.8866
WASP,buchstabenkontrolle,-8.0752,-5.5714,-10.5924
WASW,buchstabenkontrolle,-8.0956,-5.8974,-10.4182
WASY,buchstabenkontrolle,-8.1488,-6.1315,-11.5084
WASU,buchstabenkontrolle,-8.1654,-5.9692,-11.2596
WASX,buchstabenkontrolle,-8.1933,-5.0891,-11.9791
WASI,buchstabenkontrolle,-8.2202,-5.5697,-11.1823
WASS,buchstabenkontrolle,-8.3353,-5.9112,-11.2850
WASG,buchstabenkontrolle,-8.3383,-5.9459,-11.4937
WASF,buchstabenkontrolle,-8.3424,-5.2358,-11.3342
WASR,buchstabenkontrolle,-8.3528,-5.6954,-11.5139
WASO,buchstabenkontrolle,-8.3666,-6.0571,-11.7518
WASQ,buchstabenkontrolle,-8.5618,-5.6274,-12.0294
WASK,buchstabenkontrolle,-8.6167,-6.6831,-11.3703
WASC,buchstabenkontrolle,-8.7095,-6.0602,-12.1012
WASZ,buchstabenkontrolle,-8.7241,-6.9601,-11.3309
ESDF,tastenkontrolle_unabgeglichen,-8.9330,-5.8724,-11.3276
NOTA,frequenzkontrolle,-8.9791,-6.3594,-11.4795
WASH,buchstabenkontrolle,-9.1961,-7.1941,-10.6133
WASE,buchstabenkontrolle,-9.3022,-8.0286,-11.9529
WASN,buchstabenkontrolle,-9.6400,-6.7688,-12.3921
FORD,endtokenkontrolle,-9.7121,-5.7762,-12.9699
WAST,buchstabenkontrolle,-10.1054,-8.5326,-12.6069
